"event_id","event_type","alert_or_stage","facility_type","location","district_scope","event_start_kst","event_end_kst","time_precision","reported_or_status_at_kst","last_confirmed_kst","event_detail","vehicle_control","pedestrian_control","vehicle_control_start_kst","pedestrian_control_start_kst","flood_confirmed","flood_observed_kst","evacuation_occurred","formal_evacuation_order","affected_or_evacuated","verification_status","source_authority","primary_source_title","primary_source_url","supporting_source_title","supporting_source_url","evidence_note","mvp_usage_note","link_check_status","link_checked_date"
"WX-001","기상특보","호우주의보","기상특보","서울특별시","강남구 포함","2022-08-08T08:00:00+09:00","2022-08-08T12:50:00+09:00","exact","","","호우주의보 발효 후 12:50 호우경보로 격상","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서에 호우주의보 8일 08:00~12:50로 기재.","weather_alert=heavy_rain_advisory; 종료시각은 경보 격상 시각.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"WX-002","기상특보","호우경보","기상특보","서울특별시","강남구 포함","2022-08-08T12:50:00+09:00","2022-08-10T02:30:00+09:00","exact","","","호우경보 발효 및 해제","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서에 호우경보 8일 12:50~10일 02:30로 기재.","weather_alert=heavy_rain_warning.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RS-001","서울시 비상대응","1단계","행정대응","서울특별시","강남구 포함","2022-08-08T07:00:00+09:00","2022-08-08T12:50:00+09:00","exact","","","서울시 풍수해 비상대응 1단계","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서의 상황근무 단계 전환 시각.","행정 대응 상태이며 개별 도로 차단으로 자동 변환하지 않음.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RS-002","서울시 비상대응","2단계","행정대응","서울특별시","강남구 포함","2022-08-08T12:50:00+09:00","2022-08-08T22:00:00+09:00","exact","","","서울시 풍수해 비상대응 2단계","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서의 상황근무 단계 전환 시각.","행정 대응 상태이며 개별 도로 차단으로 자동 변환하지 않음.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RS-003","서울시 비상대응","3단계","행정대응","서울특별시","강남구 포함","2022-08-08T22:00:00+09:00","2022-08-10T06:00:00+09:00","exact","","","서울시 풍수해 비상대응 3단계","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","8일 22:00 3단계로 격상, 10일 06:00 2단계로 하향.","행정 대응 상태이며 개별 도로 차단으로 자동 변환하지 않음.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RS-004","서울시 비상대응","2단계","행정대응","서울특별시","강남구 포함","2022-08-10T06:00:00+09:00","2022-08-10T19:40:00+09:00","exact","","","3단계에서 2단계로 하향","","","","","","","","","","확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서의 단계 하향 시각.","행정 대응 상태.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RS-005","서울시 비상대응","1단계","행정대응","서울특별시","강남구 포함","2022-08-10T19:40:00+09:00","","exact","","","2단계에서 1단계로 하향; 최종 종료시각은 보고서에 없음","","","","","","","","","","부분확인","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서는 10일 19:40~로만 기재해 종료시각은 공란.","end=null 유지.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"RF-001","강우관측","","강우관측","강남구(세부 관측지점 미기재)","강남구","","2022-08-08T21:34:00+09:00","1시간 구간 종료시각 exact","2022-08-08T21:34:00+09:00","","21:34까지 1시간 강수량 116mm","","","","","","","","","","확인","공식 수치+동시대 보도","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","조선비즈/다음 르포(21:34까지 1시간 116mm)","https://v.daum.net/v/20220808233535594?s=print_news","공식 보고서는 강남구 1시간 최대 116mm, 동시대 보도는 구간 종료시각 21:34를 명시. 시작시각은 산술 보간하지 않고 공란.","rainfall_1h_mm=116; interval_start=null.","2026-08-15 재확인: PDF·기사 모두 열림·해당 근거 확인","2026-08-15"
"RF-002","강우관측","","강우관측","강남구(세부 관측지점 미기재)","강남구","","","status_at exact","2022-08-08T23:45:00+09:00","","23:45 현재 1일 강수량 333mm","","","","","","","","","","확인","서울특별시 미디어재단 TBS","탄천 대곡교 지점 홍수경보","https://m.tbs.seoul.kr/news/newsView.do?seq_800=20468228&typ_800=7","","","TBS 본문이 23:45 현재 강남구 1일 강수량 333mm로 보도.","daily_rainfall_mm=333; 측정 지점은 공란.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"HY-001","수위관측","","하천","탄천 대곡교","강남구 세곡동","2022-08-08T21:00:00+09:00","","exact","2022-08-08T21:00:00+09:00","","수위표 기준 4.21m","","","","","","","","","","확인","연합뉴스(한강홍수통제소 인용)","한강 대곡교 홍수주의보","https://www.yna.co.kr/view/AKR20220808151300530","","","본문에 21:00 현재 수위 4.21m 명시.","하천 수위 관측이며 도로·보행 통제로 자동 변환하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"HY-002","홍수특보","홍수주의보","하천","탄천 대곡교","강남구 세곡동","2022-08-08T21:10:00+09:00","2022-08-08T23:10:00+09:00","exact","","","홍수주의보 발령 후 홍수경보로 격상","","","","","","","","","","확인","연합뉴스(한강홍수통제소 인용)","한강 대곡교 홍수주의보","https://www.yna.co.kr/view/AKR20220808151300530","TBS 탄천 대곡교 홍수경보","https://m.tbs.seoul.kr/news/newsView.do?seq_800=20468228&typ_800=7","21:10 주의보 발령; 23:10 경보 발령으로 주의보 단계 종료.","hydrologic_alert=advisory; 시설 통제 근거로 자동 사용 금지.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"HY-003","홍수특보","홍수경보","하천","탄천 대곡교","강남구 세곡동","2022-08-08T23:10:00+09:00","2022-08-10T07:30:00+09:00","exact","","","홍수경보 발령 및 해제","","","","","","","","","","확인","TBS+연합뉴스(한강 수계 예경보)","TBS 탄천 대곡교 홍수경보","https://m.tbs.seoul.kr/news/newsView.do?seq_800=20468228&typ_800=7","연합뉴스 한강 수계 홍수 예경보 해제","https://www.yna.co.kr/view/AKR20220810043153063","TBS 본문 23:10 발령; 연합뉴스 본문 10일 07:30 대곡교 포함 예경보 모두 해제.","hydrologic_alert=warning; 시설 통제 근거로 자동 사용 금지.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"HY-004","수위관측","","하천","탄천 대곡교","강남구 세곡동","2022-08-08T23:10:00+09:00","","exact","2022-08-08T23:10:00+09:00","","수위 6.28m","","","","","","","","","","확인","서울특별시 미디어재단 TBS","탄천 대곡교 지점 홍수경보","https://m.tbs.seoul.kr/news/newsView.do?seq_800=20468228&typ_800=7","","","본문에 23:10 현재 수위 6.28m 명시.","하천 수위 관측이며 도로·보행 통제로 자동 변환하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-001","도로통제·침수","","도로","남부순환로 학여울역~대치역","강남구","2022-08-08T21:30:00+09:00","","approximate","2022-08-08T22:01:00+09:00","2022-08-09T04:57:00+09:00","양방향 모든 차로 침수, 차량 통행 불가·양방향 통제","예","","2022-08-08T21:30:00+09:00","","예","2022-08-08T21:30:00+09:00","","","","확인(해제시각 공란)","연합뉴스(서울시 교통정보과 인용)","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","YTN 8월 9일 04:57 통제 지속 보도","https://www.ytn.co.kr/_ln/0103_202208090457307049","21:30경 전 차로 침수·차량 통행 불가; 8/9 04:57 기사에서 양방향 통제 지속. 해제 본문은 찾지 못해 공란.","윤후님 팀 기준상 강남역 반경 1km 밖이므로 현재 경로에는 직접 적용하지 않음. 범위 확장 시 차량 엣지만 차단하고 보행 엣지는 변경하지 않음; end=null.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-002","지하차도통제","","지하차도","개포지하차도(언주로)","강남구 개포동","2022-08-08T21:30:00+09:00","","approximate","2022-08-08T22:01:00+09:00","2022-08-09T09:06:00+09:00","양방향 전면 통제","예","","2022-08-08T21:30:00+09:00","","","","","","","확인(해제시각·보행통제 공란)","연합뉴스(서울시 교통정보과 인용)+서울시 교통정보 화면 보도","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","데일리안 8월 9일 09:06 서울시 교통정보 현황","https://www.dailian.co.kr/news/view/1140785","연합뉴스는 남부순환로와 비슷한 시각(약 21:30) 전면 통제로 보도; 8/9 09:06 현황에도 양방향 통제. 기존 21:10 값은 재사용하지 않음.","윤후님 팀 기준상 강남역 반경 1km 밖이므로 현재 경로에는 직접 적용하지 않음. 범위 확장 시 차량 엣지만 차단하고 보행 엣지는 변경하지 않음; end=null.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-003","지하차도통제","","지하차도","일원지하차도(양재대로)","강남구 일원동","2022-08-08T21:50:00+09:00","","approximate","2022-08-08T22:01:00+09:00","2022-08-08T22:01:00+09:00","양방향 전면 통제","예","","2022-08-08T21:50:00+09:00","","","","","","","확인(해제시각·보행통제 공란)","연합뉴스(서울시 교통정보과 인용)","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","","","본문에 21:50경부터 양방향 전면 통제. 해제시각을 본문으로 확인 가능한 링크는 찾지 못해 공란.","vehicle_edges=BLOCK; pedestrian_edges 변경 금지; end=null.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-004","도로통제","","도로","강남대로 교보타워사거리→논현역","강남구·서초구 경계","","","reported_at","2022-08-08T22:01:00+09:00","2022-08-08T22:01:00+09:00","논현역 방면 하위 4개 차로 통제","예","","","","","","","","","부분확인(시작·해제·보행통제 공란)","연합뉴스(서울시 교통정보과 인용)","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","","","22:01 송고 기사 본문에서 하위 4개 차로 통제 확인. 통제 시작·해제 분 시각은 없음.","차로 방향·개수만 사용; start/end=null; 보행 엣지 변경 금지.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-005","도로통제·침수","","도로","테헤란로 삼성역~포스코사거리","강남구","","","reported_at","2022-08-08T22:01:00+09:00","2022-08-09T00:23:00+09:00","양방향 하위 4개 차로 침수; 전면 또는 부분 통제 목록에 포함","예","","","","예","","","","","부분확인(개별 시작·해제·보행통제 공란)","연합뉴스(서울시 교통정보과 인용)","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","연합뉴스 서울 도로·지하철 종합2보","https://www.yna.co.kr/view/AKR20220808131853004","22:01 기사에서 하위 4개 차로 침수; 00:23 종합보도 통제 목록에 포함. 개별 통제 시작·해제시각은 없음.","vehicle_control=true이나 start/end=null; 보행 엣지 변경 금지.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"CT-006","도로통제","","도로","양재천로(세부 구간 미기재)","서울시 보고서상 구간; 강남구 구간 특정 불가","","","","","","서울시 주요 위험도로 통제 목록에 포함","예","","","","","","","","","부분확인(구간·시작·해제·보행통제 공란)","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서 도로통제 항목에 양재천로가 있으나 세부 구간·시각은 없음.","geometry와 시각이 없어 경로 엣지 차단에는 사용하지 않음.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
