query_hour,se_cd,se_nm,api_total_rows,downloaded_rows,unique_sensors,unique_sensor_location_pairs,blank_location_pairs
2022011512,22,서초,840,840,14,14,0
2022021512,22,서초,826,826,14,14,0
2022031512,22,서초,826,826,14,14,0
2022041512,22,서초,826,826,14,14,0
2022051512,22,서초,826,826,14,14,0
2022061512,22,서초,826,826,14,14,0
2022071512,22,서초,801,801,14,14,0
2022080821,22,서초,434,434,14,14,0
2022081512,22,서초,742,742,14,14,0
2022081812,22,서초,826,826,14,14,0
2022082112,22,서초,826,826,14,14,0
2022091512,22,서초,826,826,14,14,0
2022101512,22,서초,840,840,14,14,0
2022111512,22,서초,840,840,14,14,0
2022121512,22,서초,840,840,14,14,0
2022011512,23,강남,1200,1200,20,20,0
2022021512,23,강남,1140,1140,19,19,0
2022031512,23,강남,1140,1140,19,19,0
2022041512,23,강남,1140,1140,19,19,0
2022051512,23,강남,1140,1140,19,19,0
2022061512,23,강남,1080,1080,18,18,0
2022071512,23,강남,1080,1080,18,18,0
2022080821,23,강남,1045,1045,18,18,0
2022081512,23,강남,1140,1140,19,19,0
2022081812,23,강남,1140,1140,19,19,0
2022082112,23,강남,1140,1140,19,19,0
2022091512,23,강남,1140,1140,19,19,0
2022101512,23,강남,1140,1140,19,19,0
2022111512,23,강남,1080,1080,18,18,0
2022121512,23,강남,356,356,6,6,0
