unq_no,se_cd,se_nm,pstn_info_raw,first_sampled_hour,last_sampled_hour,sampled_hour_count,api_row_count,includes_event_hour,selection_rule,location_variant_count,historical_validity_confirmed
22-0001,22,서초,서초구 방배천로 54앞 전용맨홀(방배경찰서앞~청도빌딩앞 보도내),2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False
22-0002,22,서초,서초구 서운로164~서운로162사이 골목앞 전용맨홀(진흥아파트6~7동옆 중앙차선내),2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False
22-0003,22,서초,서초구 서초대로23길 77앞 사거리내 맨홀<언제나처음처럼~방배시티아파트101동옆(서초대로23길74) 사거리>,2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False
22-0004,22,서초,서초구 방배천로 16옆 보도내 전용맨홀(호림수산옆 방배복개공영주차장 방배천로4길측 보도내),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0005,22,서초,서초구 방배로19길 14옆 전용사각맨홀(외환은행 방배동지점뒤),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0006,22,서초,서초구 주흥3길 20앞 맨홀(현대빌라앞~일호자동차공업사앞),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0007,22,서초,서초구 논현로31길 44앞 맨홀(혜인빌딩~세원빌딩간),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0008,22,서초,서초구 방배중앙로 121앞 (방배빗물펌프장유입박스 천장),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0009,22,서초,서초구 서초4동 1305-8 (동일빌딩 옆),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0010,22,서초,서초구 강남대로 399앞 맨홀(강남역#9출입구 뒤 보도내),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0011,22,서초,"서초구 강남대로 375앞 맨홀(강남역#6번출입구옆, 서초현대타워앞)",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
22-0012,22,서초,"서초구 서운로21길 2앞 전용사각(서초빗물펌프장내 박스, 서일중학교체육관 뒤)",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False
