unq_no,se_cd,se_nm,pstn_info_raw,first_sampled_hour,last_sampled_hour,sampled_hour_count,api_row_count,includes_event_hour,selection_rule,location_variant_count,historical_validity_confirmed,normalized_address,geocode_query,geocode_provider,coordinate_crs,lat,lon,geocode_quality,geocode_display_name,geocode_osm_type,geocode_osm_id
22-0001,22,서초,서초구 방배천로 54앞 전용맨홀(방배경찰서앞~청도빌딩앞 보도내),2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 방배천로 54,서울특별시 서초구 방배천로 54,OpenStreetMap Nominatim,EPSG:4326,37.487743,126.9853858,LANDMARK_MATCH_MANUAL_REVIEW,"방배천로, 방배본동, 서초구, 서울특별시, 06569, 대한민국",way,523341068
22-0002,22,서초,서초구 서운로164~서운로162사이 골목앞 전용맨홀(진흥아파트6~7동옆 중앙차선내),2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 서운로 164,서울특별시 서초구 서운로 164,OpenStreetMap Nominatim,EPSG:4326,37.4981435,127.023934,EXACT_ADDRESS_CANDIDATE,"164, 서운로, 서초4동, 서초구, 서울특별시, 06616, 대한민국",way,506184994
22-0003,22,서초,서초구 서초대로23길 77앞 사거리내 맨홀<언제나처음처럼~방배시티아파트101동옆(서초대로23길74) 사거리>,2022011512,2022121512,15,854,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 서초대로 23,서울특별시 서초구 서초대로 23,OpenStreetMap Nominatim,EPSG:4326,37.4916039,127.0082769,EXACT_ADDRESS_CANDIDATE,"준미용실, 240, B23호, 서초대로, 서초3동, 서초구, 서울특별시, 06646, 대한민국",node,13805373412
22-0004,22,서초,서초구 방배천로 16옆 보도내 전용맨홀(호림수산옆 방배복개공영주차장 방배천로4길측 보도내),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 방배천로 16,서울특별시 서초구 방배천로 16,OpenStreetMap Nominatim,EPSG:4326,37.4810205,126.9823656,LANDMARK_MATCH_MANUAL_REVIEW,"방배천로, 방배2동, 서초구, 서울특별시, 06691, 대한민국",way,180126058
22-0005,22,서초,서초구 방배로19길 14옆 전용사각맨홀(외환은행 방배동지점뒤),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 방배로 19,서울특별시 서초구 방배로 19,OpenStreetMap Nominatim,EPSG:4326,37.4902132,126.9920288,LANDMARK_MATCH_MANUAL_REVIEW,"방배로, 방배본동, 서초구, 서울특별시, 06572, 대한민국",way,523141751
22-0006,22,서초,서초구 주흥3길 20앞 맨홀(현대빌라앞~일호자동차공업사앞),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 주흥3길 20,서울특별시 서초구 주흥3길 20,OpenStreetMap Nominatim,EPSG:4326,37.5043003,127.0198336,ROAD_MATCH,"주흥3길, 반포1동, 서초구, 서울특별시, 06543, 대한민국",way,523257330
22-0007,22,서초,서초구 논현로31길 44앞 맨홀(혜인빌딩~세원빌딩간),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 논현로 31,서울특별시 서초구 논현로 31,OpenStreetMap Nominatim,EPSG:4326,37.4836836,127.0421261,LANDMARK_MATCH_MANUAL_REVIEW,"논현로, 양재1동, 서초구, 서울특별시, 06740, 대한민국",way,560607460
22-0008,22,서초,서초구 방배중앙로 121앞 (방배빗물펌프장유입박스 천장),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 방배중앙로 121,서울특별시 서초구 방배중앙로 121,OpenStreetMap Nominatim,EPSG:4326,37.494467,126.9860941,LANDMARK_MATCH_MANUAL_REVIEW,"방배중앙로, 방배4동, 서초구, 서울특별시, 06558, 대한민국",way,523257325
22-0009,22,서초,서초구 서초4동 1305-8 (동일빌딩 옆),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 서초4동 1305-8,서울특별시 서초구 서초4동 1305-8,OpenStreetMap Nominatim,EPSG:4326,37.4984954,127.0199496,ROAD_NAME_ONLY_APPROX,"서초4동, 서초구, 서울특별시, 대한민국",relation,3880676
22-0010,22,서초,서초구 강남대로 399앞 맨홀(강남역#9출입구 뒤 보도내),2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 강남대로 399,서울특별시 서초구 강남대로 399,OpenStreetMap Nominatim,EPSG:4326,37.4982352,127.0268207,EXACT_ADDRESS_CANDIDATE,"399, 강남대로, 서초4동, 서초구, 서울특별시, 06615, 대한민국",way,504506976
