"organized_path","source_path","bytes","role","status","warning","storage"
"raw\kma\aws\hourly\2022\OBS_AWS_TIM_2022_SEOUL.csv","C:\2026_Mareungil\datasets\OBS_AWS_TIM_20260811005255.csv","6855225","rainfall_reference","reference_only","Overlaps station 400 and 401 minute data after aggregation","NTFS hardlink"
"raw\kma\aws\minute\2022\station_400_gangnam\SURFACE_AWS_400_MI_2022-01_2022-12_2023.csv","C:\2026_Mareungil\datasets\20260811005751\SURFACE_AWS_400_MI_2022-01_2022-12_2023\SURFACE_AWS_400_MI_2022-01_2022-12_2023.csv","25900954","rainfall_validation","usable_with_missing_flags","Minute timestamps and rainfall values contain gaps","NTFS hardlink"
"raw\kma\aws\minute\2022\station_401_seocho\SURFACE_AWS_401_MI_2022-01_2022-12_2023.csv","C:\2026_Mareungil\datasets\20260811005751\SURFACE_AWS_401_MI_2022-01_2022-12_2023\SURFACE_AWS_401_MI_2022-01_2022-12_2023.csv","25682466","rainfall_validation","usable_with_missing_flags","Minute timestamps and rainfall values contain gaps","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년01월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년01월.csv","3850343","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년02월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년02월.csv","7062496","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년03월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년03월.csv","8679781","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년04월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년04월.csv","8578481","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년05월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년05월.csv","8695462","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년06월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년06월.csv","8820776","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년07월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년07월.csv","8956712","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년08월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년08월.csv","9144038","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년09월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년09월.csv","8852133","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년10월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년10월.csv","9096147","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년11월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년11월.csv","8669125","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\2022\monthly\서울시_강우량_정보_2022년12월.csv","C:\2026_Mareungil\datasets\서울시_강우량_정보_2022년\서울시_강우량_정보_2022년12월.csv","8574035","model_input","core_ready_with_gaps","January and February source gaps; retain missingness flags","NTFS hardlink"
"raw\seoul\rainfall\stations\bessel\서울시 강우량계 위치정보(베셀 좌표계).csv","C:\2026_Mareungil\datasets\서울시 강우량계 위치정보(베셀(bessel) 좌표계).csv","4162","spatial_metadata_reference","reference_only","Prefer EPSG:5181 shapefile for processing","NTFS hardlink"
"raw\seoul\rainfall\stations\epsg5181\seoul_rain.dbf","C:\2026_Mareungil\datasets\서울시 강우량계 위치정보(EPSG5181)\seoul_rain.dbf","22399","spatial_metadata","core_ready","PRJ file absent; assign EPSG:5181 from source metadata","NTFS hardlink"
"raw\seoul\rainfall\stations\epsg5181\seoul_rain.shp","C:\2026_Mareungil\datasets\서울시 강우량계 위치정보(EPSG5181)\seoul_rain.shp","1416","spatial_metadata","core_ready","PRJ file absent; assign EPSG:5181 from source metadata","NTFS hardlink"
"raw\seoul\rainfall\stations\epsg5181\seoul_rain.shx","C:\2026_Mareungil\datasets\서울시 강우량계 위치정보(EPSG5181)\seoul_rain.shx","476","spatial_metadata","core_ready","PRJ file absent; assign EPSG:5181 from source metadata","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202201.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202201.csv","654591245","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202202.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202202.csv","579805232","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202203.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202203.csv","650843744","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202204.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202204.csv","647124216","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202205.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202205.csv","673324688","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202206.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202206.csv","658834918","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202207.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202207.csv","669096298","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202208.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202208.csv","662500284","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202209.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202209.csv","648017495","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202210.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202210.csv","658376476","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202211.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202211.csv","650504455","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"raw\seoul\sewer_level\2022\monthly\하수관로_수위_현황_202212.csv","C:\2026_Mareungil\datasets\하수관로_수위_현황_2022\하수관로_수위_현황_202212.csv","658823635","model_target_and_input","core_ready_metadata_pending","Sensor location, unit, datum and pipe geometry absent","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-01하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-01하수수위60분현황.xlsx","19859","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-02하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-02하수수위60분현황.xlsx","19845","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
