reference_start,R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN,distance_from_gangnam_station_m
강남역 인근 시연 시작점,3962.0,1165000000.0,436.0,서울특별시,서초구,1.0,학교,서초초등학교,1165010800113100006020003,1165010800.0,1165053100.0,서울특별시 서초구 서운로 178(서초동),528.0,203.0,127.02393,37.49952,202116.02199,544451.37383,긴급,369.9098499833975
강남역 인근 시연 시작점,3940.0,1165000000.0,452.0,서울특별시,서초구,1.0,학교,서일중학교,1165010800113130016019996,1165010800.0,1165053100.0,서울특별시 서초구 서운로21길 2(서초동),4301.0,1654.0,127.02218,37.49929,201961.6222,544425.18746,긴급,502.83821954787976
강남역 인근 시연 시작점,3939.0,1165000000.0,463.0,서울특별시,서초구,1.0,학교,서운중학교,1165010800113250001022542,1165010800.0,1165052000.0,서울특별시 서초구 서운로 115(서초동),1138.0,437.0,127.02452,37.49398,202168.41893,543836.59377,안전,518.3506287156542
강남역 인근 시연 시작점,3970.0,1168000000.0,529.0,서울특별시,강남구,4.0,관공서,역삼1문화센터,1168010100108290020000001,1168010100.0,1168064000.0,서울특별시 강남구 역삼로7길 16(역삼동),1473.0,566.0,127.03327,37.4954,202941.77689,543993.51255,긴급,572.9044652304555
강남역 인근 시연 시작점,3942.0,1165000000.0,385.0,서울특별시,서초구,4.0,관공서,서초2동주민센터,1165010800113320006023232,1165010800.0,1165052000.0,서울특별시 서초구 서초대로70길 51(서초동),772.0,296.0,127.02493,37.49207,202204.30453,543624.10543,안전,694.5187368207198
강남역 인근 시연 시작점,3943.0,1165000000.0,471.0,서울특별시,서초구,4.0,관공서,서초4동주민센터,1165010800113020006020157,1165010800.0,1165053100.0,서울특별시 서초구 서운로26길 3(서초동),871.0,335.0,127.02,37.5,201768.50889,544504.31567,긴급,710.176974095835
강남역 인근 시연 시작점,3961.0,1165000000.0,342.0,서울특별시,서초구,1.0,학교,서이초등학교,1165010800113340002023194,1165010800.0,1165052000.0,서울특별시 서초구 서운로 35(서초동),581.0,223.0,127.02599,37.49161,202298.65741,543572.80506,안전,718.4036689386647
강남역 인근 시연 시작점,3930.0,1165000000.0,439.0,서울특별시,서초구,1.0,학교,반포고등학교,1165010700100300019027548,1165010700.0,1165056000.0,서울특별시 서초구 고무래로 71(반포동),561.0,215.0,127.01632,37.50219,201442.84985,544746.87056,긴급,1103.1952451524817
강남역 인근 시연 시작점,4022.0,1168000000.0,491.0,서울특별시,강남구,1.0,학교,논현초등학교,1168010800101680000008742,1168010800.0,1168052100.0,서울특별시 강남구 강남대로120길 33(논현동),12078.0,4645.0,127.02612,37.50842,202309.23472,545438.6945,안전,1172.8110650748142
강남역 인근 시연 시작점,3933.0,1165000000.0,464.0,서울특별시,서초구,1.0,학교,서원초등학교,1165010700100300008018424,1165010700.0,1165056000.0,서울특별시 서초구 고무래로 63(반포동),601.0,231.0,127.01455,37.50287,201286.92562,544822.69689,긴급,1276.6734602386878
강남역 인근 시연 시작점,3989.0,1168000000.0,542.0,서울특별시,강남구,4.0,관공서,도곡1문화센터,1168011800108920006000001,1168011800.0,1168065500.0,서울특별시 강남구 도곡로18길 57(도곡동),183.0,70.0,127.03887,37.48837,203437.79898,543214.11504,안전,1455.1637266970663
강남역 인근 시연 시작점,3959.0,1165000000.0,1.0,서울특별시,서초구,1.0,학교,서일초등학교,1165010800114360008024521,1165010800.0,1165051000.0,서울특별시 서초구 남부순환로339길 38(서초동),653.0,251.0,127.02235,37.48517,201976.70224,542857.97721,안전,1494.1444862015326
강남역 인근 시연 시작점,4008.0,1168000000.0,16.0,서울특별시,강남구,1.0,학교,언주초등학교,1168011800109220000000719,1168011800.0,1168065500.0,서울특별시 강남구 남부순환로363길 19(도곡동),20086.0,7725.0,127.03703,37.48665,203275.22669,543022.65272,안전,1505.0742393066685
강남역 인근 시연 시작점,4023.0,1168000000.0,523.0,서울특별시,강남구,4.0,관공서,논현1문화센터,1168010800101330013027971,1168010800.0,1168052100.0,서울특별시 강남구 학동로20길 25(논현동),437.0,168.0,127.02851,37.5115,202520.76771,545781.0017,안전,1509.8456939115829
강남역 인근 시연 시작점,3931.0,1165000000.0,445.0,서울특별시,서초구,1.0,학교,원촌중학교,1165010700100220000027531,1165010700.0,1165056000.0,서울특별시 서초구 사평대로45길 10(반포동),588.0,226.0,127.01398,37.50633,201236.19835,545206.39834,긴급,1522.5456134284389
강남역 인근 시연 시작점,3934.0,1165000000.0,465.0,서울특별시,서초구,1.0,학교,원촌초등학교,1165010700100210000018284,1165010700.0,1165056000.0,서울특별시 서초구 사평대로45길 26(반포동),555.0,213.0,127.01272,37.5061,201124.38569,545181.38706,긴급,1597.160383981481
강남역 인근 시연 시작점,3969.0,1168000000.0,530.0,서울특별시,강남구,1.0,학교,역삼중학교,1168010100107670020024787,1168010100.0,1168065000.0,서울특별시 강남구 도곡로43길 10(역삼동),2424.0,932.0,127.0486,37.49595,204297.4453,544055.72315,안전,1864.0459453408944
강남역 인근 시연 시작점,3963.0,1168000000.0,3.0,서울특별시,강남구,1.0,학교,학동초등학교,1168010800102640007007179,1168010800.0,1168053100.0,서울특별시 강남구 선릉로115길 42(논현동),190.0,73.0,127.03943,37.51206,203486.12177,545843.18124,안전,1884.254471972164
강남역 인근 시연 시작점,3968.0,1168000000.0,15.0,서울특별시,강남구,1.0,학교,도성초등학교,1168010100107140000023399,1168010100.0,1168065000.0,서울특별시 강남구 역삼로 313(역삼동),2225.0,855.0,127.04918,37.50091,204349.01589,544606.02594,안전,1930.4287899868152
강남역 인근 시연 시작점,3957.0,1165000000.0,476.0,서울특별시,서초구,4.0,관공서,반포1동주민센터,1165010700100200048000001,1165010700.0,1165056000.0,서울특별시 서초구 사평대로 273(반포동),239.0,91.0,127.01,37.51,200884.13651,545614.04606,긴급,2052.840453737305
강남역 인근 시연 시작점,3918.0,1165000000.0,460.0,서울특별시,서초구,3.0,경로당,구립우면경로당,1165010200100060001007669,1165010200.0,1165065100.0,서울특별시 서초구 바우뫼로41길 38-3 (양재동),66.0,25.0,127.04082,37.4823,203610.06966,542540.92655,긴급,2093.026844060587
강남역 인근 시연 시작점,3936.0,1165000000.0,444.0,서울특별시,서초구,1.0,학교,서초고등학교,1165010800115040000022278,1165010800.0,1165053000.0,서울특별시 서초구 반포대로27길 29(서초동),610.0,234.0,127.00604,37.48924,200533.82671,543309.93323,안전,2135.5623821297545
