route_rank,route_id,source_objectid,source_s_id,evidence_reference_name,evidence_reference_longitude,evidence_reference_latitude,distance_from_evidence_reference_m,route_length_m,trace_overlap_sample_pct,expected_overlap_sample_pct,start_elevation_m,end_elevation_m,min_elevation_m,max_elevation_m,max_abs_slope_pct_proxy,elevation_method,end_minus_start_elevation_m,low_point_drop_from_start_m,terrain_drainage_interpretation,terrain_data_status,route_screening_status,route_screening_limit
1.0,ROUTE_0010,119133.0,2206.0,강남역 분석 기준점,127.02762,37.49794,247.7,227.4,100.0,71.4,12.89999962,15.35000038,12.89999962,15.44999981,22.43,21 route samples matched to nearest official elevation point,2.4500007600000018,0.0,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
2.0,ROUTE_0020,119143.0,2216.0,강남역 분석 기준점,127.02762,37.49794,259.0,265.0,90.5,85.7,15.69999981,16.0,15.69999981,16.0,1.96,21 route samples matched to nearest official elevation point,0.3000001900000004,0.0,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
3.0,ROUTE_0042,119165.0,2238.0,강남역 분석 기준점,127.02762,37.49794,314.9,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981,24.32,21 route samples matched to nearest official elevation point,-0.0399999599999993,0.0399999599999993,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
4.0,ROUTE_0015,119138.0,2211.0,강남역 분석 기준점,127.02762,37.49794,324.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023,37.71,21 route samples matched to nearest official elevation point,-3.9099998499999984,7.44000054,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
5.0,ROUTE_0057,119180.0,2253.0,강남역 분석 기준점,127.02762,37.49794,326.9,44.2,0.0,100.0,12.98999977,12.98999977,12.98999977,12.98999977,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
6.0,ROUTE_0016,119139.0,2212.0,강남역 분석 기준점,127.02762,37.49794,345.6,54.2,100.0,100.0,15.35000038,15.35000038,15.35000038,15.35000038,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
7.0,ROUTE_0009,119132.0,2205.0,강남역 분석 기준점,127.02762,37.49794,354.5,54.3,0.0,100.0,12.98999977,12.98999977,12.98999977,12.98999977,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
8.0,ROUTE_0008,119131.0,2204.0,강남역 분석 기준점,127.02762,37.49794,363.6,301.1,85.7,100.0,12.28999996,12.98999977,12.28999996,12.98999977,2.59,21 route samples matched to nearest official elevation point,0.6999998100000013,0.0,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
9.0,ROUTE_0011,119134.0,2207.0,강남역 분석 기준점,127.02762,37.49794,371.9,54.1,57.1,100.0,15.35000038,15.35000038,12.60000038,15.35000038,101.57,21 route samples matched to nearest official elevation point,0.0,2.75,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
10.0,ROUTE_0013,119136.0,2209.0,강남역 분석 기준점,127.02762,37.49794,376.8,54.3,81.0,100.0,15.35000038,15.35000038,15.35000038,15.35000038,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
11.0,ROUTE_0012,119135.0,2208.0,강남역 분석 기준점,127.02762,37.49794,386.3,231.8,95.2,90.5,15.22000027,15.35000038,14.73999977,15.35000038,5.26,21 route samples matched to nearest official elevation point,0.130000110000001,0.4800004999999991,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
12.0,ROUTE_0022,119145.0,2218.0,강남역 분석 기준점,127.02762,37.49794,447.7,54.2,33.3,100.0,16.0,16.0,16.0,16.12999916,4.79,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
13.0,ROUTE_0021,119144.0,2217.0,강남역 분석 기준점,127.02762,37.49794,467.2,321.6,100.0,38.1,16.12999916,15.22000027,15.22000027,16.12999916,5.66,21 route samples matched to nearest official elevation point,-0.9099988900000008,0.9099988900000008,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
14.0,ROUTE_0024,119147.0,2220.0,강남역 분석 기준점,127.02762,37.49794,516.1,154.0,0.0,0.0,14.89000034,16.84000015,14.76000023,16.84000015,15.72,21 route samples matched to nearest official elevation point,1.949999810000001,0.130000110000001,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
15.0,ROUTE_0055,119178.0,2251.0,강남역 분석 기준점,127.02762,37.49794,557.1,220.1,14.3,100.0,13.56000042,13.63000011,12.22000027,13.63000011,12.81,21 route samples matched to nearest official elevation point,0.0699996899999995,1.3400001499999998,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
16.0,ROUTE_0019,119142.0,2215.0,강남역 분석 기준점,127.02762,37.49794,564.0,54.2,0.0,0.0,17.95000076,17.95000076,17.95000076,21.65999985,136.85,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
17.0,ROUTE_0018,119141.0,2214.0,강남역 분석 기준점,127.02762,37.49794,572.4,204.0,28.6,95.2,17.34000015,17.95000076,17.34000015,17.95000076,5.98,21 route samples matched to nearest official elevation point,0.6100006100000002,0.0,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
18.0,ROUTE_0033,119156.0,2229.0,강남역 분석 기준점,127.02762,37.49794,582.4,54.2,0.0,0.0,16.84000015,16.84000015,16.84000015,16.84000015,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
19.0,ROUTE_0017,119140.0,2213.0,강남역 분석 기준점,127.02762,37.49794,593.3,54.2,100.0,100.0,19.26000023,19.26000023,12.53999996,19.26000023,247.77,21 route samples matched to nearest official elevation point,0.0,6.72000027,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
20.0,ROUTE_0014,119137.0,2210.0,강남역 분석 기준점,127.02762,37.49794,604.1,254.6,9.5,57.1,20.27000046,19.26000023,12.53999996,20.27000046,52.79,21 route samples matched to nearest official elevation point,-1.0100002299999993,7.730000499999999,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
