route_id,geometry_type,part_index,ring_index,vertex_index,longitude,latitude,route_rank,route_length_m,trace_overlap_sample_pct,expected_overlap_sample_pct,start_elevation_m,end_elevation_m,min_elevation_m,max_elevation_m
ROUTE_0010,LineString,0.0,0.0,0.0,127.02482017167128,37.49776962317249,1.0,227.4,100.0,71.4,12.89999962,15.35000038,12.89999962,15.44999981
ROUTE_0010,LineString,0.0,0.0,1.0,127.02441742275153,37.49866179351755,1.0,227.4,100.0,71.4,12.89999962,15.35000038,12.89999962,15.44999981
ROUTE_0010,LineString,0.0,0.0,2.0,127.0236284438398,37.49840850087804,1.0,227.4,100.0,71.4,12.89999962,15.35000038,12.89999962,15.44999981
ROUTE_0010,LineString,0.0,0.0,3.0,127.02343937217336,37.49880281890887,1.0,227.4,100.0,71.4,12.89999962,15.35000038,12.89999962,15.44999981
ROUTE_0020,LineString,0.0,0.0,0.0,127.02666716507836,37.49573663989956,2.0,265.0,90.5,85.7,15.69999981,16.0,15.69999981,16.0
ROUTE_0020,LineString,0.0,0.0,1.0,127.0274339685611,37.49415366554884,2.0,265.0,90.5,85.7,15.69999981,16.0,15.69999981,16.0
ROUTE_0020,LineString,0.0,0.0,2.0,127.0266265965278,37.49390526244085,2.0,265.0,90.5,85.7,15.69999981,16.0,15.69999981,16.0
ROUTE_0042,LineString,0.0,0.0,0.0,127.02412026947458,37.49738269576649,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0042,LineString,0.0,0.0,1.0,127.02361205300284,37.49843012830763,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0042,LineString,0.0,0.0,2.0,127.02366294567446,37.49844093020066,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0042,LineString,0.0,0.0,3.0,127.023612098111,37.49857338830587,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0042,LineString,0.0,0.0,4.0,127.02399493439373,37.49868341413785,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0042,LineString,0.0,0.0,5.0,127.02400031136668,37.49887667889516,3.0,202.3,90.5,100.0,13.02999973,12.98999977,12.98999977,15.44999981
ROUTE_0015,LineString,0.0,0.0,0.0,127.0214341492375,37.49620875156322,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0015,LineString,0.0,0.0,1.0,127.0215266586922,37.49623252131908,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0015,LineString,0.0,0.0,2.0,127.02317307768926,37.49669541735678,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0015,LineString,0.0,0.0,3.0,127.02407559110748,37.497000768210256,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0015,LineString,0.0,0.0,4.0,127.02409338581803,37.49712636489609,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0015,LineString,0.0,0.0,5.0,127.023597956042,37.49819451796024,4.0,389.8,100.0,95.2,19.26000023,15.35000038,11.81999969,19.26000023
ROUTE_0057,LineString,0.0,0.0,0.0,127.02394738694068,37.498878942151215,5.0,44.2,0.0,100.0,12.98999977,12.98999977,12.98999977,12.98999977
