unq_no,n,rise_n,rise_recall,stable_low_fpr,overall_f1
22-0001,823,10,0.0,0.0,0.9531051964512041
23-0018,821,5,0.0,0.0,0.935064935064935
23-0017,821,4,0.0,0.0,0.993897122929381
23-0015,821,5,0.0,0.0,0.4824561403508772
23-0014,821,10,0.0,0.0,0.898989898989899
23-0007,821,13,0.0,0.0,0.6900584795321637
23-0005,823,11,0.0,0.0,0.6326530612244898
23-0004,823,12,0.0,0.0,0.8915187376725838
23-0019,821,9,0.0,0.0,0.9559322033898306
23-0001,823,34,0.0,0.0,0.6101694915254238
22-0002,823,26,0.0,0.0,0.7864768683274022
22-0005,823,7,0.0,0.0,0.9022082018927445
22-0007,823,18,0.0,0.0,0.875
22-0010,823,21,0.0,0.0037105751391465678,0.860813704496788
23-0009,821,46,0.021739130434782608,0.0035842293906810036,0.5460526315789473
22-0003,823,25,0.04,0.0022522522522522522,0.8885017421602788
22-0004,823,17,0.058823529411764705,0.011787819253438114,0.9126637554585152
23-0003,578,15,0.06666666666666667,0.0021645021645021645,0.6774193548387096
22-0006,823,27,0.07407407407407407,0.006122448979591836,0.8280000000000001
23-0008,821,27,0.07407407407407407,0.005357142857142857,0.7167630057803468
22-0009,823,12,0.08333333333333333,0.0,0.7387387387387387
23-0011,821,24,0.08333333333333333,0.0,0.7664041994750657
22-0014,823,22,0.09090909090909091,0.002150537634408602,0.8897795591182365
22-0011,823,32,0.09375,0.0030257186081694403,0.7250000000000001
22-0013,823,32,0.09375,0.0016155088852988692,0.695970695970696
22-0012,823,21,0.09523809523809523,0.005474452554744526,0.8299319727891157
22-0008,823,17,0.11764705882352941,0.00663716814159292,0.9230769230769231
23-0010,821,23,0.13043478260869565,0.0035971223021582736,0.7298050139275766
23-0002,823,38,0.13157894736842105,0.017054263565891473,0.4888888888888889
23-0021,821,6,0.16666666666666666,0.0,0.9683350357507661
23-0006,142,0,,0.0,
23-0012,821,0,,0.08647990255785627,0.0
23-0013,821,0,,,0.5017667844522968
