event_id,kind,rain_start,rain_end,window_start,window_end,max_gauge_total_mm,mean_gauge_total_mm,envelope_total_mm,peak_10m_mm,duration_h,rain_slots
D0103,DRY,,,2022-01-03 00:00:00,2022-01-03 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0114,DRY,,,2022-01-14 00:00:00,2022-01-14 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0203,DRY,,,2022-02-03 00:00:00,2022-02-03 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0213,DRY,,,2022-02-13 00:00:00,2022-02-13 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0304,DRY,,,2022-03-04 00:00:00,2022-03-04 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0309,DRY,,,2022-03-09 00:00:00,2022-03-09 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E01_0312,RAIN,2022-03-12 20:00:00,2022-03-13 08:30:00,2022-03-12 08:00:00,2022-03-14 08:30:00,29.5,27.0,46.0,2.5,12.5,45
E02_0325,RAIN,2022-03-25 20:00:00,2022-03-26 10:10:00,2022-03-25 08:00:00,2022-03-27 10:10:00,26.5,24.1,41.0,1.0,14.2,72
D0402,DRY,,,2022-04-02 00:00:00,2022-04-02 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0411,DRY,,,2022-04-11 00:00:00,2022-04-11 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0502,DRY,,,2022-05-02 00:00:00,2022-05-02 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0517,DRY,,,2022-05-17 00:00:00,2022-05-17 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0601,DRY,,,2022-06-01 00:00:00,2022-06-01 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D0605,DRY,,,2022-06-05 00:00:00,2022-06-05 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E03_0614,RAIN,2022-06-14 22:00:00,2022-06-16 09:20:00,2022-06-14 10:00:00,2022-06-17 09:20:00,26.5,24.7,58.5,7.5,35.3,75
E04_0623,RAIN,2022-06-23 08:40:00,2022-06-24 06:50:00,2022-06-22 20:40:00,2022-06-25 06:50:00,117.0,107.6,207.0,20.0,22.2,70
E05_0628,RAIN,2022-06-28 22:30:00,2022-06-30 21:40:00,2022-06-28 10:30:00,2022-07-01 21:40:00,336.5,267.3,493.0,18.0,47.2,198
D0703,DRY,,,2022-07-03 00:00:00,2022-07-03 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E06_0706,RAIN,2022-07-06 21:40:00,2022-07-06 23:40:00,2022-07-06 09:40:00,2022-07-07 23:40:00,41.0,31.3,77.0,14.0,2.0,13
E07_0713,RAIN,2022-07-13 02:40:00,2022-07-14 03:50:00,2022-07-12 14:40:00,2022-07-15 03:50:00,178.5,145.2,247.0,13.0,25.2,89
E08_0720,RAIN,2022-07-20 22:00:00,2022-07-21 10:00:00,2022-07-20 10:00:00,2022-07-22 10:00:00,21.5,19.8,38.0,2.0,12.0,57
E09_0722,RAIN,2022-07-22 13:20:00,2022-07-22 17:00:00,2022-07-22 01:20:00,2022-07-23 17:00:00,18.0,13.9,36.5,9.0,3.7,12
E10_0723,RAIN,2022-07-23 16:40:00,2022-07-24 06:30:00,2022-07-23 04:40:00,2022-07-25 06:30:00,23.5,20.2,35.0,4.0,13.8,34
D0728,DRY,,,2022-07-28 00:00:00,2022-07-28 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E11_0731,RAIN,2022-07-31 11:30:00,2022-08-01 07:50:00,2022-07-30 23:30:00,2022-08-02 07:50:00,90.0,79.7,146.0,6.5,20.3,86
E12_0802,RAIN,2022-08-02 00:00:00,2022-08-03 08:50:00,2022-08-01 12:00:00,2022-08-04 08:50:00,69.5,61.3,137.5,6.5,32.8,100
E13_0808,RAIN,2022-08-08 06:00:00,2022-08-10 06:10:00,2022-08-07 18:00:00,2022-08-11 06:10:00,519.5,471.7,798.0,26.0,48.2,198
E14_0810,RAIN,2022-08-10 21:10:00,2022-08-11 14:00:00,2022-08-10 09:10:00,2022-08-12 14:00:00,59.0,51.5,81.5,10.5,16.8,53
D0818,DRY,,,2022-08-18 00:00:00,2022-08-18 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E15_0819,RAIN,2022-08-19 15:50:00,2022-08-19 23:40:00,2022-08-19 03:50:00,2022-08-20 23:40:00,53.0,43.1,93.0,11.0,7.8,30
E16_0830,RAIN,2022-08-30 01:00:00,2022-08-30 23:10:00,2022-08-29 13:00:00,2022-08-31 23:10:00,46.5,43.8,72.5,1.5,22.2,111
D0902,DRY,,,2022-09-02 00:00:00,2022-09-02 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E17_0904,RAIN,2022-09-04 05:30:00,2022-09-06 07:50:00,2022-09-03 17:30:00,2022-09-07 07:50:00,251.5,229.8,331.0,5.0,50.3,210
E18_0916,RAIN,2022-09-16 18:20:00,2022-09-17 07:40:00,2022-09-16 06:20:00,2022-09-18 07:40:00,44.5,18.0,66.5,8.5,13.3,29
D0921,DRY,,,2022-09-21 00:00:00,2022-09-21 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D1001,DRY,,,2022-10-01 00:00:00,2022-10-01 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E19_1002,RAIN,2022-10-02 17:30:00,2022-10-04 06:50:00,2022-10-02 05:30:00,2022-10-05 06:50:00,89.0,84.7,148.0,6.0,37.3,145
E20_1009,RAIN,2022-10-09 08:50:00,2022-10-10 05:40:00,2022-10-08 20:50:00,2022-10-11 05:40:00,22.0,17.4,35.5,2.0,20.8,65
D1022,DRY,,,2022-10-22 00:00:00,2022-10-22 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D1101,DRY,,,2022-11-01 00:00:00,2022-11-01 23:50:00,0.0,0.0,0.0,0.0,0.0,0
D1109,DRY,,,2022-11-09 00:00:00,2022-11-09 23:50:00,0.0,0.0,0.0,0.0,0.0,0
E21_1112,RAIN,2022-11-12 14:40:00,2022-11-12 22:40:00,2022-11-12 02:40:00,2022-11-13 22:40:00,37.5,34.4,64.0,4.5,8.0,36
