unq_no,level_min,level_max,distinct,n,level_range,modelable
22-0001,0.0,1.36,98,8372,1.36,True
22-0002,0.23,1.94,124,8372,1.71,True
22-0003,0.19,1.96,111,8372,1.77,True
22-0004,0.0,0.98,70,8372,0.98,True
22-0005,0.15,1.82,88,8372,1.6700000000000002,True
22-0006,0.17,1.93,128,8372,1.76,True
22-0007,0.05,1.53,110,8372,1.48,True
22-0008,0.0,2.22,126,8372,2.22,True
22-0009,0.05,2.52,147,8372,2.47,True
22-0010,0.03,2.68,140,8372,2.6500000000000004,True
22-0011,0.02,2.19,142,8372,2.17,True
22-0012,0.28,2.05,124,8372,1.7699999999999998,True
22-0013,0.17,2.66,163,8372,2.49,True
22-0014,0.38,3.33,152,8372,2.95,True
23-0001,0.0,0.84,83,7670,0.84,True
23-0002,0.2,1.3,86,7670,1.1,True
23-0003,0.11,1.19,81,7670,1.0799999999999998,True
23-0004,0.03,1.32,88,7670,1.29,True
23-0005,0.0,2.21,100,8403,2.21,True
23-0006,0.12,1.04,64,2823,0.92,True
23-0007,0.05,0.97,76,8403,0.9199999999999999,True
23-0008,0.61,1.94,107,8390,1.33,True
23-0009,0.0,1.63,122,8174,1.63,True
23-0010,0.11,1.54,89,8334,1.43,True
23-0011,0.06,1.59,104,8321,1.53,True
23-0012,0.0,2.0,45,8323,2.0,True
23-0013,0.0,0.6,24,8275,0.6,True
23-0014,0.0,2.0,67,8403,2.0,True
23-0015,-0.04,0.67,55,6447,0.7100000000000001,True
23-0016,0.0,0.55,41,2208,0.55,True
23-0017,0.1,0.88,69,7611,0.78,True
23-0018,0.02,0.6,47,8400,0.58,True
23-0019,0.11,1.97,132,8403,1.8599999999999999,True
23-0020,0.28,0.5,23,2208,0.21999999999999997,True
23-0021,0.24,1.4,82,7942,1.16,True
